type	latitude	longitude	altitude (ft)	name	desc	url
T	40.769660000	-77.755250000	1337.0	Tussey Mountainback 50		https://www.strava.com/routes/3402377033517200272
T	40.769170000	-77.755445001	1339.4			
T	40.768680000	-77.755640000	1340.7			
T	40.768170000	-77.755950000	1338.2			
T	40.767500000	-77.756210000	1334.1			
T	40.766970000	-77.756440002	1331.4			
T	40.766440000	-77.756670000	1328.0			
T	40.766170000	-77.756730000	1326.6			
T	40.766160000	-77.756730000	1326.6			
T	40.765460000	-77.756790000	1326.4			
T	40.765300000	-77.756780000	1326.5			
T	40.765190000	-77.756720000	1326.7			
T	40.764900000	-77.756320000	1330.6			
T	40.764640000	-77.756090000	1337.2			
T	40.764500000	-77.756000000	1340.0			
T	40.764090000	-77.755840000	1348.6			
T	40.763590000	-77.755714999	1354.7			
T	40.763090000	-77.755590000	1364.7			
T	40.762840000	-77.755500000	1369.8			
T	40.762800000	-77.755420000	1369.8			
T	40.762730000	-77.754800000	1377.1			
T	40.762740000	-77.754550000	1381.0			
T	40.762830000	-77.754170000	1385.3			
T	40.763020002	-77.753545002	1391.0			
T	40.763210000	-77.752920000	1400.6			
T	40.763230000	-77.752690000	1402.2			
T	40.763210000	-77.752590000	1402.4			
T	40.763060000	-77.752150000	1403.0			
T	40.763050000	-77.752030000	1403.8			
T	40.762910000	-77.751840000	1403.6			
T	40.762720000	-77.751700000	1405.3			
T	40.762640000	-77.751700000	1407.3			
T	40.762600000	-77.751710000	1407.3			
T	40.762540000	-77.751790000	1408.4			
T	40.762470000	-77.751930000	1413.5			
T	40.762470000	-77.751940000	1413.5			
T	40.762450000	-77.752020000	1414.3			
T	40.762420000	-77.752240000	1419.1			
T	40.762480000	-77.752880000	1426.4			
T	40.762430000	-77.753490000	1434.3			
T	40.762350000	-77.753820000	1441.5			
T	40.762210000	-77.754260000	1450.6			
T	40.762120000	-77.754830000	1456.3			
T	40.762100000	-77.754880000	1456.3			
T	40.762040000	-77.754930000	1458.1			
T	40.761640000	-77.755290000	1466.9			
T	40.761530000	-77.755510000	1470.7			
T	40.761330000	-77.756260000	1480.9			
T	40.761320000	-77.756340000	1480.9			
T	40.761320000	-77.756350000	1481.1			
T	40.761300000	-77.756850000	1490.5			
T	40.761270000	-77.756940000	1490.5			
T	40.760930000	-77.757610000	1502.8			
T	40.760470000	-77.758420000	1515.2			
T	40.760420000	-77.758520000	1515.2			
T	40.760320000	-77.758830000	1520.3			
T	40.760260000	-77.759100000	1526.2			
T	40.760270000	-77.759580000	1532.8			
T	40.760230000	-77.759670000	1535.4			
T	40.760180000	-77.759660000	1535.4			
T	40.760160000	-77.759630000	1536.6			
T	40.760150000	-77.759540000	1536.6			
T	40.760230000	-77.759000000	1542.5			
T	40.760290000	-77.758730000	1544.9			
T	40.760390000	-77.758020000	1552.9			
T	40.760450000	-77.757870000	1554.3			
T	40.760750000	-77.757390000	1564.1			
T	40.760950000	-77.757040000	1568.2			
T	40.760990000	-77.756850000	1568.2			
T	40.760930000	-77.756450000	1572.5			
T	40.760870000	-77.756260000	1574.2			
T	40.760570000	-77.755330000	1584.9			
T	40.760480000	-77.755150000	1587.6			
T	40.760230000	-77.754740000	1593.0			
T	40.759710000	-77.753970000	1606.4			
T	40.759560000	-77.753860000	1610.4			
T	40.759500000	-77.753860000	1610.4			
T	40.759410000	-77.753930000	1617.7			
T	40.759380000	-77.754110000	1620.0			
T	40.759405003	-77.754875000	1632.5			
T	40.759430000	-77.755640000	1642.8			
T	40.759350000	-77.756300000	1652.9			
T	40.759350000	-77.756310000	1652.9			
T	40.759220000	-77.756840000	1660.2			
T	40.759020000	-77.757340000	1670.3			
T	40.758710000	-77.758240000	1682.9			
T	40.758310000	-77.759000000	1695.8			
T	40.757960000	-77.759940000	1712.3			
T	40.757560000	-77.760710000	1725.3			
T	40.757390000	-77.761110000	1735.0			
T	40.757140000	-77.761990000	1746.1			
T	40.756660000	-77.762810000	1762.2			
T	40.756110000	-77.763700000	1779.0			
T	40.755800000	-77.764270000	1787.4			
T	40.755790000	-77.764290000	1787.7			
T	40.755480000	-77.764860000	1799.1			
T	40.754900000	-77.765670000	1810.4			
T	40.754740000	-77.765990000	1823.8			
T	40.754410000	-77.766920000	1839.1			
T	40.754040000	-77.767810000	1850.8			
T	40.753800000	-77.768450000	1863.5			
T	40.753730000	-77.768670000	1865.2			
T	40.753680000	-77.768940000	1871.0			
T	40.753470000	-77.769610000	1880.7			
T	40.753130000	-77.770280000	1890.5			
T	40.752980000	-77.770640000	1897.0			
T	40.752650000	-77.771220000	1905.8			
T	40.752340001	-77.771690002	1915.8			
T	40.752030000	-77.772160000	1926.0			
T	40.751510000	-77.772780000	1939.8			
T	40.751330000	-77.772970000	1941.7			
T	40.751090000	-77.773280000	1946.9			
T	40.750980000	-77.773460000	1954.5			
T	40.750850000	-77.773780000	1954.5			
T	40.750660000	-77.774140000	1962.6			
T	40.750110000	-77.775030000	1980.1			
T	40.750110000	-77.775040000	1980.4			
T	40.749770000	-77.775600000	1990.3			
T	40.749660000	-77.775920000	1998.0			
T	40.749510000	-77.776290000	2003.3			
T	40.749380000	-77.776560000	2008.9			
T	40.749130000	-77.777270000	2020.9			
T	40.749040000	-77.777680000	2028.4			
T	40.748800000	-77.778520000	2046.7			
T	40.748760000	-77.778880000	2049.7			
T	40.748740000	-77.778920000	2051.1			
T	40.748670000	-77.778920000	2053.3			
T	40.748640000	-77.778790000	2054.5			
T	40.748710000	-77.778340000	2066.0			
T	40.748710000	-77.777720000	2081.4			
T	40.748650000	-77.777010000	2094.4			
T	40.748600000	-77.776640000	2099.0			
T	40.748510000	-77.776200000	2103.2			
T	40.748350000	-77.775820000	2108.0			
T	40.748270000	-77.775690000	2108.2			
T	40.748070000	-77.775480000	2105.5			
T	40.748020000	-77.775350000	2102.1			
T	40.748000000	-77.775250000	2102.1			
T	40.748040000	-77.774810000	2096.1			
T	40.748180000	-77.774180000	2089.9			
T	40.748560000	-77.773150000	2072.7			
T	40.748680000	-77.772690000	2065.6			
T	40.748690000	-77.772470000	2063.8			
T	40.748650000	-77.772040000	2061.2			
T	40.748540000	-77.771580000	2055.0			
T	40.748480000	-77.771090000	2047.0			
T	40.748460000	-77.770780000	2042.1			
T	40.748440000	-77.769710000	2025.9			
T	40.748410000	-77.769430000	2025.9			
T	40.748390000	-77.768810000	2017.0			
T	40.748330000	-77.768500000	2013.3			
T	40.748250000	-77.768310000	2012.4			
T	40.748100000	-77.768140000	2013.1			
T	40.747850000	-77.768120000	2013.1			
T	40.747740000	-77.768230000	2012.0			
T	40.747690000	-77.768320000	2012.0			
T	40.747640000	-77.768490000	2008.4			
T	40.747550000	-77.769000000	2000.7			
T	40.747470000	-77.769340000	1992.6			
T	40.747130000	-77.770290000	1979.1			
T	40.747050000	-77.770460000	1977.3			
T	40.746870000	-77.770740000	1968.8			
T	40.746530000	-77.771180000	1963.0			
T	40.746100000	-77.771990000	1948.2			
T	40.746010000	-77.772120000	1945.9			
T	40.745790000	-77.772390000	1938.8			
T	40.745290000	-77.772890000	1929.6			
T	40.745170000	-77.773060000	1923.1			
T	40.745010000	-77.773340000	1917.0			
T	40.744710000	-77.774270000	1895.6			
T	40.744510002	-77.775005002	1883.9			
T	40.744310000	-77.775740000	1869.7			
T	40.744160000	-77.776050000	1860.4			
T	40.743910000	-77.776470000	1852.3			
T	40.743900000	-77.776480000	1852.0			
T	40.743730000	-77.776780000	1843.3			
T	40.743600000	-77.777040000	1839.9			
T	40.743365001	-77.777585002	1825.2			
T	40.743130000	-77.778130000	1817.9			
T	40.742910000	-77.778930000	1805.6			
T	40.742795002	-77.779580001	1794.8			
T	40.742680000	-77.780230000	1784.3			
T	40.742520000	-77.780900000	1778.0			
